Timestamp,"By signing this document I consent to participate in this study, and consent to the data processing necessary to enable my participation and to achieve the research goals of this study ",,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,What Signal Would You Give The Agent,Would You Give Action or State Feedback ,If State Feedback What State Features Would You Mark Important,How would you assess your own technical expertise?,How Familiar are you with Artificial Intelligence ?,How Familiar are you with Reinforcement Learning,"
How would you evaluate the user-friendliness of the framework?",Did you find the instructions for providing feedback clear and understandable,Were you able to identify the relevant features and actions for providing feedback without any confusion? ,How confident did you feel about the feedback you provided? 
25/03/2024 21:58:28,Consent,Very Negative,State,"Pirate Position, Treasure Position",Negative,Action,N/A,Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Treasure Position",Negative,Action,N/A,Positive,State,"Pirate Position, Treasure Position",Negative,State,"Pirate Position, Pirate Orientation",Negative,State,Pirate Position,Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,N/A,Very Negative,State,"Pirate Position, Treasure Position",Negative,State,"Pirate Position, Pirate Orientation",5,5,5,4,3,3,4
26/03/2024 12:08:34,Consent,Very Negative,State,"Pirate Position, Treasure Position",Negative,Action,"Pirate Position, Pirate Orientation",Positive,Action,"Pirate Position, Treasure Position",Positive,State,"Pirate Position, Treasure Position",Negative,Action,Pirate Position,Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Very Negative,Action,"Pirate Position, Pirate Orientation",Very Negative,Action,"Pirate Position, Pirate Orientation, Treasure Position",Very Negative,Action,"Pirate Position, Pirate Orientation, Treasure Position",Very Negative,Action,Pirate Orientation,Very Negative,State,"Pirate Position, Treasure Position",Very Negative,Action,Pirate Orientation,4,4,2,5,5,1,2
26/03/2024 12:28:05,Consent,Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,N/A,Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Treasure Position",Negative,Action,N/A,Positive,State,"Pirate Position, Treasure Position",Very Negative,Action,N/A,Very Negative,,"Pirate Position, Pirate Orientation, Treasure Position",Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,N/A,Very Negative,State,"Pirate Position, Treasure Position",Very Negative,Action,N/A,4,4,3,5,4,2,4
26/03/2024 14:16:40,Consent,Very Negative,Action,N/A,Negative,Action,N/A,Negative,Action,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,N/A,Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,N/A,Negative,State,"Pirate Position, Treasure Position",Positive,State,"Pirate Position, Treasure Position",Negative,Action,N/A,Very Negative,State,"Pirate Position, Treasure Position",Negative,Action,N/A,4,4,4,5,4,4,4
26/03/2024 15:13:56,Consent,Negative,Action,N/A,Negative,Action,N/A,Positive,Action,N/A,Positive,State,Treasure Position,Negative,Action,N/A,Positive,State,"Pirate Position, Pirate Orientation",Negative,Action,N/A,Positive,Action,Pirate Orientation,Positive,State,Pirate Orientation,Negative,Action,N/A,Very Negative,Action,N/A,Very Negative,Action,N/A,4,4,4,4,5,5,5
26/03/2024 15:51:43,Consent,Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,N/A,Positive,Action,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Treasure Position",Negative,Action,N/A,Positive,Action,N/A,Negative,Action,,Positive,State,"Pirate Position, Treasure Position",Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,,Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Very Negative,Action,,1,2,5,4,3,3,2
26/03/2024 16:22:18,Consent,Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,Pirate Orientation,Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,Action,"Pirate Position, Treasure Position",Very Negative,Action,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,Treasure Position,Very Negative,Action,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,Pirate Orientation,Very Negative,Action,"Pirate Position, Pirate Orientation, Treasure Position",Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Treasure Position",Very Negative,Action,"Pirate Position, Pirate Orientation, Treasure Position",1,3,2,4,3,3,2
27/03/2024 20:51:54,Consent,Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Very Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",3,2,2,4,5,3,3
28/03/2024 16:08:55,Consent,Negative,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,,Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Positive,State,"Pirate Position, Pirate Orientation, Treasure Position",Negative,Action,,Positive,State,"Pirate Position, Treasure Position",Negative,Action,,Negative,Action,,Very Negative,State,"Pirate Position, Treasure Position",Negative,Action,,Very Negative,State,"Pirate Position, Treasure Position",Negative,Action,,4,4,4,5,5,1,4
28/03/2024 21:32:26,Consent,Negative,State,Treasure Position,Positive,Action,Treasure Position,Positive,Action,Treasure Position,Positive,Action,Treasure Position,Very Negative,Action,Treasure Position,Positive,Action,Pirate Orientation,Very Negative,Action,Treasure Position,Negative,Action,Pirate Orientation,Very Negative,Action,Pirate Orientation,Very Negative,Action,Pirate Position,Very Negative,Action,Treasure Position,Very Negative,Action,Treasure Position,3,3,2,4,3,3,2
